INSTNM	ADDR	CITY	STABBR	ZIP	LONGITUD	LATITUDE										
Olympic College	1600 Chester Ave	Bremerton	WA	98337	-122.635751	47.575093										
Reed College	3203 SE Woodstock Blvd	Portland	OR	97202	-122.63064	45.480376										
Everest College-Bremerton	155 Washington Ave. Ste. 200	Bremerton	WA	98337	-122.625659	47.564057										
Northwest Indian College	2522 Kwina Rd	Bellingham	WA	98226	-122.614576	48.794334										
Western Seminary	5511 SE Hawthorne Blvd	Portland	OR	97215	-122.605831	45.512344										
Northwest College of Art & Design	16301 Creative Dr NE	Poulsbo	WA	98370	-122.604201	47.710943										
Heald College-Portland	6035 NE 78th Ct	Portland	OR	97218	-122.583176	45.566623										
Northwest College-Clackamas	8307 S.E. Monterey Ave	Clackamas	OR	97086	-122.577674	45.438327										
Phagans School of Hair Design	12000 SE 82nd Avenue K217	Happy Valley	OR	97086	-122.576651	45.43589										
Clackamas Community College	19600 Molalla Ave	Oregon City	OR	97045	-122.574272	45.323185										
Pierce College at Fort Steilacoom	9401 Farwest Dr SW	Lakewood	WA	98498	-122.570935	47.172082										
ITT Technical Institute-Portland	9500 NE Cascades Parkway	Portland	OR	97220	-122.565544	45.575369										
San Francisco Theological Seminary	105 Seminary Road	San Anselmo	CA	94960	-122.564302	37.969594										
College of Marin	835 College Ave	Kentfield	CA	94904	-122.549936	37.955014										
Birthingway College of Midwifery	12113 SE Foster Rd	Portland	OR	97266	-122.538471	45.476809										
Everest College-Vancouver Massage Therapy	120 NE 136th Ave- Ste 220	Vancouver	WA	98684	-122.536481	45.621273										
Everest College-Vancouver	120 NE 136th Ave Ste 130	Vancouver	WA	98684	-122.536462	45.621523										
Tacoma Community College	6501 S 19th St	Tacoma	WA	98466	-122.521057	47.246369										
Faith Evangelical College & Seminary	3504 N Pearl St	Tacoma	WA	98407	-122.515945	47.280177										
Dominican University of California	50 Acacia Ave	San Rafael	CA	94901	-122.514654	37.980014										
Bellingham Technical College	3028 Lindbergh Ave	Bellingham	WA	98225	-122.51216	48.766189										
Whatcom Community College	237 W Kellogg Rd	Bellingham	WA	98226	-122.495832	48.795923										
Clover Park Technical College	4500 Steilacoom Blvd SW	Lakewood	WA	98499	-122.495524	47.175477										
Western Washington University	516 High Street	Bellingham	WA	98225	-122.484873	48.737236										
BJ's Beauty & Barber College	5239 S Tacoma Way	Tacoma	WA	98409	-122.483623	47.209361										
University of Puget Sound	1500 N. Warner Street	Tacoma	WA	98416	-122.479714	47.263651										
San Francisco State University	1600 Holloway Ave	San Francisco	CA	94132	-122.477905	37.721345										
Toni & Guy Hairdressing Academy-Bellingham	1411 Railroad Ave	Bellingham	WA	98225	-122.476441	48.75066										
The Salon Professional Academy-Tacoma	3702 S Fife Street Ste B102	Tacoma	WA	98409	-122.47146	47.222671										
Skyline College	3300 College Dr	San Bruno	CA	94066	-122.465978	37.630543										
Hilltop Beauty School	6317 Mission St	Daly City	CA	94014	-122.461674	37.705545										
